TARGETID,SURVEY
39633170542365687,sv2
39633174799583893,sv2
39633174799585049,sv2
39633174799584065,sv2
39633170546557400,sv2
39633170542365995,sv2
39633170546557975,sv2
39633174803779370,sv2
39633170546558387,sv2
39633170546557893,sv2
39633174803778336,sv2
39633170546559517,sv2
39633140209156192,sv2
39633140204964619,sv2
39633144588009696,sv2
39633144588012328,sv2
39633144592204458,sv2
39633144588013022,sv2
39633144588012835,sv2
39633286049300614,sv2
39633286045109055,sv2
39633286049301927,sv2
39633286045109255,sv2
39633286049300779,sv2
39633286049301943,sv2
39633286049300978,sv2
39633286049301347,sv2
39633286045109370,sv2
39633286045109486,sv2
39633282345730112,sv2
39633282345730258,sv2
39633282345730691,sv2
39633282341539025,sv2
39633282345730673,sv2
39633282345731142,sv2
39633286049302488,sv2
39633289727707553,sv2
39633282349925528,sv2
39633282349925142,sv2
39633278625383285,sv2
39633282349924876,sv2
39633278621190306,sv2
39633278621189930,sv2
39633278625384787,sv2
39633278621190145,sv2
39633278625382577,sv2
39633278621191123,sv2
39633278621191076,sv2
39633286049303080,sv2
39633286049303967,sv2
39633286053494895,sv2
39633286049302943,sv2
39633278621188405,sv2
39633282345732691,sv2
39633282349924554,sv2
39633286053495556,sv2
39633282349925354,sv2
39633278621188282,sv2
39633282345731801,sv2
39633278621189086,sv2
39633286049303414,sv2
39633278621188815,sv2
39633286057689165,sv2
39633282349927990,sv2
39633282349927215,sv2
39633282354119734,sv2
39633286053496984,sv2
39633282349926304,sv2
39633282354120685,sv2
39633282354121128,sv2
39633170529781522,sv2
39633166251592270,sv2
39633170525588785,sv2
39633170529780406,sv2
39633170529781039,sv2
39633170529781694,sv2
39633174774417979,sv2
39633174774418806,sv2
39633179010665760,sv2
39633174774418389,sv2
39633166251591364,sv2
39633174782804277,sv2
39633170529780503,sv2
39633174778611940,sv2
39633174778612375,sv2
39633174782804292,sv2
39633170525587306,sv2
39633170525586214,sv2
39633174778611235,sv2
39633174778610666,sv2
39633174778610817,sv2
39633174778610193,sv2
39633174778611183,sv2
39633174778610485,sv2
39633179010665735,sv2
39633179014857289,sv2
39633179014858072,sv2
39633179014856823,sv2
39633179010665919,sv2
39633183230135403,sv2
39633183234329160,sv2
39633183238521587,sv2
39633183238522620,sv2
39633183238520906,sv2
39633183234329277,sv2
39633174787000912,sv2
39633179010664669,sv2
39633183230132899,sv2
39633183230134211,sv2
39633183230134761,sv2
39633174782805417,sv2
39633179019051592,sv2
39633174787001159,sv2
39633179023248444,sv2
39633179023247243,sv2
39633174787000828,sv2
39633174787000572,sv2
39633179023247496,sv2
39633179023247711,sv2
39633179023247136,sv2
39633179023247951,sv2
39633179023247053,sv2
39633183234328642,sv2
39633183234328263,sv2
39633183234328526,sv2
39633183234326920,sv2
39633187437021793,sv2
39633183234328067,sv2
39633183234328098,sv2
39633179019052984,sv2
39633179019052526,sv2
39633183238523938,sv2
39633179019053992,sv2
39633179014859594,sv2
